,province,province_Kfold_Target_Enc
0,ACEH,1166.4955341920709
11,BALI,1065.3490351990433
18,BANTEN,797.7445860896895
38,BENGKULU,986.4727515559873
40,DI YOGYAKARTA,842.8654857157101
45,DKI JAKARTA,745.924708405917
53,JAMBI,1195.660445422882
54,JAWA BARAT,820.1229925157736
104,JAWA TENGAH,852.6316250891209
170,JAWA TIMUR,1568.6115069018053
275,KALIMANTAN BARAT,1013.9118528962126
278,KALIMANTAN SELATAN,928.6619718309859
283,KALIMANTAN TIMUR,1190.0054655224808
294,LAMPUNG,750.2437158469947
301,MALUKU,1416.6666666666667
302,MALUKU UTARA,1209.375
303,NUSA TENGGARA BARAT,978.5294117647059
306,NUSA TENGGARA TIMUR,1237.2222222222222
307,PAPUA,1311.338028169014
309,PAPUA BARAT,1406.4285714285713
310,RIAU DARATAN,1192.0809070262242
326,RIAU KEPULAUAN,809.3690564767574
335,SULAWESI BARAT,917.0588235294117
336,SULAWESI SELATAN,931.6256114572518
355,SULAWESI TENGAH,1155.2444709613292
358,SULAWESI TENGGARA,1063.2816414519982
363,SULAWESI UTARA,1224.8778245614035
368,SUMATERA BARAT,1127.7571114117075
375,SUMATERA SELATAN,1085.6284403669724
376,SUMATERA UTARA,1192.726422250316
795,BANGKA BELITUNG,824.5833333333334
3360,SULAWESI SELATAN,932.3656531018977
3370,SULAWESI TENGAH,1155.7839712195866
3372,SULAWESI TENGGARA,1042.629407514341
3378,SULAWESI UTARA,1178.3771636363635
3383,SUMATERA BARAT,1135.020667361919
3396,SUMATERA SELATAN,1097.4326923076924
3398,SUMATERA UTARA,1193.3937759952469
3421,ACEH,1208.3564672965917
3427,BALI,1063.8401619278409
3434,BANGKA BELITUNG,835.9090909090909
3435,BANTEN,789.7889338328606
3458,BENGKULU,941.0
3462,DI YOGYAKARTA,848.4679096897836
3472,DKI JAKARTA,776.520138309721
3480,JAMBI,1195.1345086637261
3488,JAWA BARAT,821.6993537585709
3561,JAWA TENGAH,855.2281906406582
3641,JAWA TIMUR,1554.28635091423
3746,KALIMANTAN BARAT,1018.1549984210714
3750,KALIMANTAN SELATAN,945.1748251748252
3754,KALIMANTAN TIMUR,1191.4874111945962
3764,LAMPUNG,748.7946381865736
3772,MALUKU UTARA,108823.07692307692
3773,NUSA TENGGARA BARAT,982.5242718446602
3778,NUSA TENGGARA TIMUR,1167.603448275862
3779,PAPUA,1246.953125
3784,PAPUA BARAT,1397.3529411764705
3785,RIAU DARATAN,1176.3405508910464
3800,RIAU KEPULAUAN,801.7399042950512
3807,SULAWESI BARAT,942.0
4645,KALIMANTAN UTARA,1300.0
6719,JAWA TIMUR,1557.3441082898933
6809,KALIMANTAN BARAT,1028.1744111737992
6814,KALIMANTAN SELATAN,929.2028985507246
6818,KALIMANTAN TIMUR,1193.664655006522
6830,LAMPUNG,808.2335346519701
6837,NUSA TENGGARA BARAT,970.3365384615385
6840,NUSA TENGGARA TIMUR,1181.267857142857
6841,RIAU DARATAN,1163.079246358217
6853,RIAU KEPULAUAN,816.726089898325
6861,SULAWESI SELATAN,941.3143653272637
6881,SULAWESI TENGAH,1156.9846450802704
6888,SULAWESI TENGGARA,955.567301331415
6894,SULAWESI UTARA,1161.2351147540985
6897,SUMATERA BARAT,1129.551675513455
6910,SUMATERA SELATAN,1077.381443298969
6913,SUMATERA UTARA,1229.440855140855
