,ship_to_name,ship_to_name_Kfold_Target_Enc
0,"ABAD JAYA ABADI SENTOSA, BNA, LBNA",900.9230769230769
1,Proyek Jl. Tol BP Blang Bintang,1309.0
2,Proyek Jl. Tol BP Jantho,1364.0
3,"ANDESMONT SAKTI, BNA",1000.0
4,Proyek Jalan Tol BP Seulawah,1375.75
5,Proyek Jl. Tol BP Indrapuri,1150.578847252578
7,Proyek STA 18,1150.578847252578
8,Proyek Tol Aceh PT Adhi Karya BP Bi,1009.2307692307693
9,PT WBP Tol Aceh Wadah Suci,1150.578847252578
10,PT Wajib Usaha Mix,1000.0
11,"RDM ADI JAYA BETON, PT",1033.0
12,RDM BALI BETON MANDIRI,1034.9227278613214
13,"LISA CONCRETE INDONESIA PT,",993.75
14,PRY PURI DHARMAWANGSA VILLAS/CMB,1150.578847252578
15,RDM SCG / OPC  / SCG JAYA READYMIX,1052.5
16,PRY APRON BANDARA / SB / SBB,1150.578847252578
17,RDM SINAR BALI KARYA / PLANT TAMBLA,1040.0
18,ADHI CIPTA INDAH PT. (SHERACON),776.25
19,AFINDI AGUNG PT.,717.3542439615354
20,AM BLOC - PLANT TANGERANG,787.6923076923077
21,JM MUTU UTAMA PT.,1825.52666738887
22,BATA MILENIUM INDONESIA PT.,795.0
23,PRY CIVIL WORKS CONST OF KARIAN/DAE,980.0
24,DEWA BETON ( LEGOK ),790.0
25,RDM FARIKA BETON PL CENGKARENG,788.5714285714286
26,INDOBRICK SEJAHTERA PT.,785.3333333333334
27,JAYACON PANEL UTAMA PT,850.7142857142857
28,"KREASI BETON NUSA PERSADA, PT",800.0
29,LIUNISEN BETONINDO SEJAHTERA PT.,812.6666666666666
30,"MONIER, PT",798.1428571428571
31,PANTONEPILE KWARTATAMA.PT (TGR),785.3333333333334
32,REKAGUNATEK PERSADA PT. (PLANT II),800.0
33,RDM SHENGLI INDUSTRI INDONESIA/SII,1150.578847252578
34,BATCHING PLANT PT SUMBER BATU,1150.578847252578
35,TOP PONDASI INDONESIA PT.,837.7777777777778
36,UNISTRADA GLOBAL MANDIRI PT.,771.6666666666666
37,PRY TOL PLANT KARAWACI/ WASKITA,800.0
38,BENGKULU SETIA ABADI PT.,0.0
39,PT Pebana Adi Sarana,1000.0
40,"RDM ANEKA DHARMA PERSADA, PT",847.6923076923077
41,RDM KURNIA SEJAHTERA / PRY KRT BDR,1150.578847252578
42,KVB BETON INDONESIA PT.,1150.578847252578
43,RDM SCG PLANT YOGYA RING ROAD,832.8571428571429
44,RDM SURYA KARYA SETIABUDI,870.0
45,RDM AGUNG BETON,810.0
46,RDM FARIKA BETON PL PIK,1150.578847252578
47,RDM KAWASAN BERIKAT NUSANTARA / KBN,0.0
48,MAHRI BETON - PLANT JAKARTA,813.1818181818181
49,PARAMATEGAK BETON INDONESIA.PT,800.0
50,SCG READYMIX PLANT KEBON NANAS PT.,1150.578847252578
51,PRY KERETA API CEPAT/ WITON HALIM,790.0
52,PRY RMC STADION BMW,808.0
53,PT Atlas Citra Gemilang,875.0
54,MTU YARD,2000.0
55,ANUGERAH MORTAR ABADI PT.,799.3333333333334
56,JORMIX BERKAH,800.0
57,ARTHA MULIA BETON PT.,789.2857142857143
58,RDM BANGUN MAKMUR UTAMA,1150.578847252578
59,DELIMA JM PLANT CIAMIS,890.0
60,RDM BENUA MULTIGUNA,1150.578847252578
61,BETON ELEMEN PERSADA PT.,810.7142857142857
62,BONNA INDONESIA PT.,1277.5
63,CIPTA MORTAR UTAMA (CIBITUNG),440.0
64,DECON MULTI INDUSTRI PT.,853.1034482758621
65,DEMIX SARANA INDUSTRI INDONESIA PT.,866.0526315789474
66,DJABESMEN PT. (LEMAH ABANG),820.0
67,DUTA SARANA.PT ( I ),1033.6666666666667
68,PBR ETERNIT GRESIK,779.3943946027213
69,FAUZAN PUTRA PERKASA,845.4545454545455
70,GREAT WALL PANELINDO PT.,1150.578847252578
71,RDM GUNUNG RAJA PAKSI,790.0
72,PBR JAYA BLOKMIL INDONESIA,735.0
73,KARUNIA MEGAH WISESA,806.6666666666666
74,CIPAGAMAS PERKASA (RDM LITA BETON),800.0
75,RDM MY MIX (PADALARANG),827.922431140139
76,BUMI JAYA SAMPURNA PT.,792.0
77,PERKASA ADIGUNA PT.,910.0
78,PRY TERMINAL SERVICE PATIMBAN PORT,847.0
79,PRY PELABUHAN RATU / CV GEMA,1000.0
80,PRY PATIMBAN PORT DEVELOPMENT PACKA,1150.578847252578
82,PUNCAK TOP BETONI PT.,1150.578847252578
83,"PRY JALAN APBN, KSO SIS-ADHI-WBP/AD",790.0
84,RDM SEMEN INDOGREEN PLNT CIKARANG,1150.578847252578
85,SO GRAHA PERDANA PT.,897.1408863597171
86,SURYA TATA ALAM RAYA PT.,1150.578847252578
87,RDM TORSINA REDIKON PLANT KALIJATI,780.0
88,RDM TORSINA REDIKON/SUBANG,780.0
89,"TORSINA REDIKON, PT - BANDUNG",701.1111111111111
90,"TORSINA REDIKON, PT - KARAWANG",780.0
91,USI BETON PLANT CIKAMURANG,800.0
92,USI BETON PLANT PAMULIHAN,800.0
93,RDM WANAYASA BETON PANGANDARAN,1060.7142857142858
94,PRY PLANT KALIJATI/WASKITA KARYA,1095.3
95,RDM WASKITA BETON/PLANT CINERE,800.0
96,PBR WITON KARAWANG,777.5277777777778
97,PRY BP WITON BOGOR,440.9311111111112
98,PRY BP WITON KARAWANG,785.5
99,PRY HSR PLANT BAROS,808.0
100,PRY HSR PLANT WALINI,808.0
101,PRY KERETA CEPAT / WITON,790.0
102,RDM WITON JABAR,374.0
103,ZEIN BAHEERA PT.,813.0
104,RDM ABIL KARYA,1150.578847252578
105,ARIES PLANT GEMOLONG,1150.578847252578
106,ARIES PUTRA BETON (SEMARANG),830.0
107,"RDM ARIES PUTRA BETON, PT",710.5612244897962
108,RDM ARMADA HADA G P.CLCP,875.0
109,RDM ARMADA HADA GRAHA PL BUGEL,851.4285714285714
110,RDM BANGUN ANUGRAH BETON NUSANTARA,816.4285714057144
111,RDM BENGAWAN READYMIX PT,850.0000000400001
112,RDM BBM BETON,844.8571428571429
